author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,median clearance rates protozoans,Bongo net,ml (mgDM)-1 h-1,NA,juvenile,0.98,"parameter, validation",overwintering,function,ingestion
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,median clearance rates copepods,Bongo net,ml (mgDM)-1 h-1,NA,juvenile,0.99,"parameter, validation",overwintering,function,ingestion
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,ration,Bongo net,% body C d-1,NA,juvenile,0.0025 * (mgC m-3) + 0.05,"parameter, validation",overwintering,function,assimilation
"Hagen, W. (1996)",seasonal lipid storage as overwintering strategy of antarctic krill,observation,months,"winter, summer, spring",1986,Weddell Sea,lipid content,measurement,% DW,NA,juvenile to adult,10.5,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,dryWeightToFiltrationRateFR0,reference,m3 d-1 mgDW-1,8,"juveniles, adults",0.00343,"parameter, validation",overwintering,function,ingestion
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,dryWeightToFiltrationRateExponent,reference,NA,8,"juveniles, adults",0.514,"parameter, validation",overwintering,function,ingestion
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,lipid mass,measurement,mg,5,larvae,0.21,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,% lipid of DM,measurement,%,5,larvae,9.7,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Ju et al. (2009),comparative lipid dynamics of euphausiids from the antarctic and northeast pacific oceans,hybrid,months,winter,2001-2001,Western Antarctic Peninsula,total lipid content,"Lipid class analysis via Iatroscan TLC/FID and gas chromatography–mass spectrometry (GC-MS), Fisher's least significant difference",%,2,larvae,11.2,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Ju et al. (2009),comparative lipid dynamics of euphausiids from the antarctic and northeast pacific oceans,hybrid,months,winter,2001-2001,Western Antarctic Peninsula,total lipid content % dry mass,"Lipid class analysis via Iatroscan TLC/FID and gas chromatography–mass spectrometry (GC-MS), Fisher's least significant difference",% dry mass,2,larvae,4.4,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
