author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name,enviro_vars
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,summer,2005-2005,Prydz Bay,Wet weight,12 weeks starvation experiment,ug,225,adult,236,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,summer,2005-2005,Prydz Bay,Wet weight,12 weeks starvation experiment,ug,81,adult,323,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,summer,2005-2005,Prydz Bay,Wet weight,12 weeks starvation experiment,ug,81,adult,323,"parameter, validation",spawning,state_var,tissue_reserves_proteins,NA
Auerswald et al. 2015,"Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation",observation,days,summer,2005-2005,Prydz Bay,Wet weight,12 weeks starvation experiment,ug,81,adult,323,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2001,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,8,adult,9.8,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2004,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,19,adult,11.4,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2005,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,14,adult,18.9,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2008,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,7,adult,16.6,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2009,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,18,adult,9.7,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2010,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,21,adult,20.6,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2011,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,12,adult,11.6,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2012,South Shetland Islands,lipid dry mass (%),Isaacs-Kidd midwater trawl,%,15,adult,23,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2001,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,10,adult,6.01,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2004,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,19,adult,5.36,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2005,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,14,adult,6.42,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2008,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,7,adult,7.12,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2009,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,19,adult,5.39,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2010,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,34,adult,4.98,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2011,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,14,adult,8.41,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2012,South Shetland Islands,16:0/16:1n-7,Isaacs-Kidd midwater trawl,NA,15,adult,4.6,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2001,South Shetland Islands,16:1n-7/18:4n-3,Isaacs-Kidd midwater trawl,NA,10,adult,1.21,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2004,South Shetland Islands,16:1n-7/18:4n-3,Isaacs-Kidd midwater trawl,NA,19,adult,0.89,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2005,South Shetland Islands,16:1n-7/18:4n-3,Isaacs-Kidd midwater trawl,NA,14,adult,0.83,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2008,South Shetland Islands,16:1n-7/18:4n-3,Isaacs-Kidd midwater trawl,NA,7,adult,0.86,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2009,South Shetland Islands,16:1n-7/18:4n-3,Isaacs-Kidd midwater trawl,NA,19,adult,2.02,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2010,South Shetland Islands,16:1n-7/18:4n-3,Isaacs-Kidd midwater trawl,NA,34,adult,1.06,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2011,South Shetland Islands,16:1n-7/18:4n-3,Isaacs-Kidd midwater trawl,NA,14,adult,1.41,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2012,South Shetland Islands,16:1n-7/18:4n-3,Isaacs-Kidd midwater trawl,NA,15,adult,1.08,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2001,South Shetland Islands,18:1n-9/18:1n-7,Isaacs-Kidd midwater trawl,NA,10,adult,1.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2004,South Shetland Islands,18:1n-9/18:1n-7,Isaacs-Kidd midwater trawl,NA,19,adult,1.22,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2005,South Shetland Islands,18:1n-9/18:1n-7,Isaacs-Kidd midwater trawl,NA,14,adult,1.29,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2008,South Shetland Islands,18:1n-9/18:1n-7,Isaacs-Kidd midwater trawl,NA,7,adult,1.17,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2009,South Shetland Islands,18:1n-9/18:1n-7,Isaacs-Kidd midwater trawl,NA,19,adult,1.32,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2010,South Shetland Islands,18:1n-9/18:1n-7,Isaacs-Kidd midwater trawl,NA,34,adult,1.3,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2011,South Shetland Islands,18:1n-9/18:1n-7,Isaacs-Kidd midwater trawl,NA,14,adult,1.26,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2012,South Shetland Islands,18:1n-9/18:1n-7,Isaacs-Kidd midwater trawl,NA,15,adult,1.8,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2001,South Shetland Islands,SFA/PUFA,Isaacs-Kidd midwater trawl,NA,10,adult,0.08,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2004,South Shetland Islands,SFA/PUFA,Isaacs-Kidd midwater trawl,NA,19,adult,0.21,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2005,South Shetland Islands,SFA/PUFA,Isaacs-Kidd midwater trawl,NA,14,adult,0.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2008,South Shetland Islands,SFA/PUFA,Isaacs-Kidd midwater trawl,NA,7,adult,0.1,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2009,South Shetland Islands,SFA/PUFA,Isaacs-Kidd midwater trawl,NA,19,adult,0.22,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2010,South Shetland Islands,SFA/PUFA,Isaacs-Kidd midwater trawl,NA,34,adult,0.24,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2011,South Shetland Islands,SFA/PUFA,Isaacs-Kidd midwater trawl,NA,14,adult,0.37,validation,spawning,state_var,tissue_reserves_lipids,NA
Reis et al. (2015),winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula,observation,months,summer,2012,South Shetland Islands,SFA/PUFA,Isaacs-Kidd midwater trawl,NA,15,adult,0.3,validation,spawning,state_var,tissue_reserves_lipids,NA
Espinasse et al. (2012),austral fall-winter transition of mesozooplankton assemblages and krill aggregations in an embayment west of the antarctic peninsula,hybrid,months,autumn,2009-2009,"Wilhelmina Bay, Gerlache Strait",Wet weight,MOCNESS tows,g WW m^-2,NA,adult,198,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
